timestamp,phase,code,valueA,valueB
738629.979923,camera,96,0.000833,800.000000
738630.302330,detection,65,0.000000,0.000000
738630.302352,detection,80,0.000000,0.000000
738630.302352,detection,66,0.000000,0.000000
738630.302352,detection,127,0.000000,0.000000
738630.375760,detection,65,323.000000,0.000000
738630.376029,detection,35,0.891089,102.000000
738630.376067,detection,34,4.736842,15.000000
738630.376097,detection,32,0.039869,323.000000
738630.376098,detection,99,0.759722,0.000000
738630.376098,detection,85,0.039869,0.759722
738630.376098,detection,66,0.039869,4.736842
738630.376098,detection,127,0.039869,4.736842
738630.450799,detection,65,296.000000,0.000000
738630.450962,detection,35,0.888889,100.000000
738630.450975,detection,34,4.391892,13.000000
738630.450991,detection,32,0.039971,296.000000
738630.450991,detection,99,0.763889,0.000000
738630.450991,detection,85,0.039971,0.763889
738630.450992,detection,66,0.039971,4.391892
738630.450992,detection,127,0.039971,4.391892
738630.528541,detection,65,304.000000,0.000000
738630.528717,detection,35,0.896552,88.000000
738630.528730,detection,34,3.763158,13.000000
738630.528750,detection,32,0.038944,304.000000
738630.528750,detection,99,0.761111,0.000000
738630.528750,detection,85,0.038944,0.761111
738630.528750,detection,66,0.038944,3.763158
738630.528750,detection,127,0.038944,3.763158
738630.608471,detection,65,262.000000,0.000000
738630.608616,detection,35,0.894118,86.000000
738630.608628,detection,34,3.938931,12.000000
738630.608644,detection,32,0.041444,262.000000
738630.608644,detection,99,0.695833,0.000000
738630.608645,detection,85,0.041444,0.695833
738630.608645,detection,66,0.041444,3.938931
738630.608645,detection,127,0.041444,3.938931
738630.688454,detection,65,275.000000,0.000000
738630.688612,detection,35,0.894118,86.000000
738630.688623,detection,34,4.065454,13.000000
738630.688640,detection,32,0.047667,275.000000
738630.688640,detection,99,0.697222,0.000000
738630.688641,detection,85,0.047667,0.697222
738630.688641,detection,66,0.047667,4.065454
738630.688641,detection,127,0.047667,4.065454
738630.768345,detection,65,275.000000,0.000000
738630.768494,detection,35,0.895349,87.000000
738630.768506,detection,34,4.112728,13.000000
738630.768523,detection,32,0.049498,275.000000
738630.768523,detection,99,0.695833,0.000000
738630.768523,detection,85,0.049498,0.695833
738630.768523,detection,66,0.049498,4.112728
738630.768523,detection,127,0.049498,4.112728
738630.848741,detection,65,271.000000,0.000000
738630.848885,detection,35,0.882353,86.000000
738630.848897,detection,34,4.125461,13.000000
738630.848914,detection,32,0.042116,271.000000
738630.848914,detection,99,0.761111,0.000000
738630.848914,detection,85,0.042116,0.761111
738630.848914,detection,66,0.042116,4.125461
738630.848914,detection,127,0.042116,4.125461
738630.929378,detection,65,252.000000,0.000000
738630.929510,detection,35,0.897436,79.000000
738630.929521,detection,34,3.761905,12.000000
738630.929537,detection,32,0.044018,252.000000
738630.929537,detection,99,0.761111,0.000000
738630.929537,detection,85,0.044018,0.761111
738630.929537,detection,66,0.044018,3.761905
738630.929537,detection,127,0.044018,3.761905
738630.929634,detection,128,0.049498,1.000000
738630.929634,detection,129,0.625000,8.000000
738630.929635,detection,130,2.000000,1.000000
738630.929635,detection,144,0.049498,1.000000
738630.929639,detection,144,0.049498,1.000000
738630.929640,detection,126,8.000000,0.049498
738630.929640,detection,128,0.049498,1.000000
738630.929640,detection,144,0.049498,1.000000
738630.929640,detection,144,0.049498,1.000000
738631.011097,detection,65,268.000000,0.000000
738631.011246,detection,35,0.895349,87.000000
738631.011258,detection,34,3.895522,12.000000
738631.011275,detection,32,0.049089,268.000000
738631.011275,detection,99,0.695833,0.000000
738631.011275,detection,85,0.049089,0.695833
738631.011275,detection,66,0.049089,3.895522
738631.011275,detection,127,0.049089,3.895522
738631.092266,detection,65,264.000000,0.000000
738631.092390,detection,35,0.902439,83.000000
738631.092400,detection,34,3.772727,12.000000
738631.092414,detection,32,0.043724,264.000000
738631.092414,detection,99,0.695833,0.000000
738631.092414,detection,85,0.043724,0.695833
738631.092414,detection,66,0.043724,3.772727
738631.092415,detection,127,0.043724,3.772727
738631.174077,detection,65,266.000000,0.000000
738631.174195,detection,35,0.892857,85.000000
738631.174205,detection,34,3.834587,12.000000
738631.174219,detection,32,0.047664,266.000000
738631.174219,detection,99,0.695833,0.000000
738631.174219,detection,85,0.047664,0.695833
738631.174219,detection,66,0.047664,3.834587
738631.174220,detection,127,0.047664,3.834587
738631.255928,detection,65,279.000000,0.000000
738631.256070,detection,35,0.888889,91.000000
738631.256081,detection,34,4.240143,13.000000
738631.256098,detection,32,0.048582,279.000000
738631.256098,detection,99,0.695833,0.000000
738631.256098,detection,85,0.048582,0.695833
738631.256098,detection,66,0.048582,4.240143
