timestamp,phase,code,valueA,valueB
636259.950628,camera,96,0.000833,800.000000
636260.255539,detection,65,398.000000,0.000000
636260.255920,detection,35,0.886598,98.000000
636260.255956,detection,34,3.693467,15.000000
636260.255987,detection,32,0.015692,398.000000
636260.255987,detection,98,0.401389,0.000000
636260.255987,detection,85,0.015692,0.401389
636260.255996,detection,66,0.015692,0.401389
636260.327286,detection,65,142.000000,0.000000
636260.327393,detection,35,0.844828,59.000000
636260.327401,detection,34,4.570422,11.000000
636260.327409,detection,32,0.011883,142.000000
636260.327409,detection,98,0.388889,0.000000
636260.327409,detection,85,0.011883,0.388889
636260.327410,detection,66,0.011883,0.388889
636260.400267,detection,65,1015.000000,0.000000
636260.400563,detection,35,0.924138,146.000000
636260.400582,detection,34,4.171429,29.000000
636260.400640,detection,32,0.004108,1015.000000
636260.400640,detection,99,0.801389,0.000000
636260.400640,detection,85,0.004108,0.801389
636260.400640,detection,66,0.004108,0.801389
636260.474613,detection,65,1040.000000,0.000000
636260.474927,detection,35,0.927152,152.000000
636260.474946,detection,34,4.530769,31.000000
636260.475008,detection,32,0.002275,1040.000000
636260.475008,detection,99,0.798611,0.000000
636260.475008,detection,85,0.002275,0.798611
636260.475008,detection,66,0.002275,0.798611
636260.550484,detection,65,984.000000,0.000000
636260.550753,detection,35,0.937500,145.000000
636260.550770,detection,34,4.420732,30.000000
636260.550823,detection,32,0.000838,984.000000
636260.550823,detection,99,0.798611,0.000000
636260.550823,detection,85,0.000838,0.798611
636260.550823,detection,66,0.000838,0.798611
636260.625710,detection,65,964.000000,0.000000
636260.625989,detection,35,0.938356,147.000000
636260.626007,detection,34,4.422199,29.000000
636260.626060,detection,32,0.001076,964.000000
636260.626060,detection,99,0.798611,0.000000
636260.626060,detection,85,0.001076,0.798611
636260.626061,detection,66,0.001076,0.798611
636260.700669,detection,65,960.000000,0.000000
636260.700960,detection,35,0.939597,150.000000
636260.700979,detection,34,4.218750,27.000000
636260.701033,detection,32,0.001571,960.000000
636260.701033,detection,99,0.798611,0.000000
636260.701033,detection,85,0.001571,0.798611
636260.701033,detection,66,0.001571,0.798611
636260.776280,detection,65,930.000000,0.000000
636260.776537,detection,35,0.942029,139.000000
636260.776555,detection,34,3.886021,26.000000
636260.776609,detection,32,0.001952,930.000000
636260.776609,detection,99,0.798611,0.000000
636260.776609,detection,85,0.001952,0.798611
636260.776609,detection,66,0.001952,0.798611
