timestamp,phase,code,valueA,valueB
473653.577992,camera,96,0.000833,800.000000
473653.867334,detection,65,236.000000,0.000000
473653.867521,detection,97,0.201389,0.904762
473653.867595,detection,32,0.007609,236.000000
473653.867595,detection,33,0.201389,0.904762
473653.867595,detection,84,0.904762,0.000000
473653.867602,detection,66,0.007609,43.000000
473653.943247,detection,65,136.000000,0.000000
473653.943300,detection,97,0.195833,0.909091
473653.943322,detection,32,0.001066,136.000000
473653.943322,detection,33,0.195833,0.909091
473653.943322,detection,84,0.909091,0.000000
473653.943322,detection,66,0.001066,34.000000
473654.018074,detection,65,560.000000,0.000000
473654.018338,detection,99,0.797222,0.914530
473654.018428,detection,32,0.004712,560.000000
473654.018428,detection,33,0.797222,0.914530
473654.018428,detection,84,0.914530,0.000000
473654.018428,detection,66,0.004712,118.000000
473654.094387,detection,65,592.000000,0.000000
473654.094667,detection,99,0.951389,0.910569
473654.094766,detection,32,0.005834,592.000000
473654.094766,detection,33,0.951389,0.910569
473654.094767,detection,84,0.910569,0.000000
473654.094767,detection,66,0.005834,124.000000
473654.171281,detection,65,544.000000,0.000000
473654.171518,detection,99,0.951389,0.916667
473654.171596,detection,32,0.005307,544.000000
473654.171596,detection,33,0.951389,0.916667
473654.171596,detection,84,0.916667,0.000000
473654.171597,detection,66,0.005307,121.000000
473654.246290,detection,65,560.000000,0.000000
473654.246517,detection,99,0.951389,0.911504
473654.246596,detection,32,0.005699,560.000000
473654.246596,detection,33,0.951389,0.911504
473654.246596,detection,84,0.911504,0.000000
473654.246596,detection,66,0.005699,114.000000
473654.321739,detection,65,576.000000,0.000000
473654.321971,detection,99,0.951389,0.913793
473654.322050,detection,32,0.005405,576.000000
473654.322050,detection,33,0.951389,0.913793
473654.322051,detection,84,0.913793,0.000000
473654.322051,detection,66,0.005405,117.000000
473654.397128,detection,65,580.000000,0.000000
473654.397346,detection,99,0.952778,0.913793
473654.397420,detection,32,0.005186,580.000000
473654.397420,detection,33,0.952778,0.913793
473654.397420,detection,84,0.913793,0.000000
473654.397421,detection,66,0.005186,117.000000
473654.472336,detection,65,584.000000,0.000000
473654.472568,detection,99,0.951389,0.909836
473654.472641,detection,32,0.005041,584.000000
473654.472641,detection,33,0.951389,0.909836
473654.472641,detection,84,0.909836,0.000000
473654.472642,detection,66,0.005041,123.000000
473654.547680,detection,65,572.000000,0.000000
473654.547897,detection,99,0.908333,0.899160
473654.547968,detection,32,0.005582,572.000000
473654.547968,detection,33,0.908333,0.899160
473654.547968,detection,84,0.899160,0.000000
473654.547969,detection,66,0.005582,120.000000
473654.623335,detection,65,572.000000,0.000000
473654.623548,detection,99,0.952778,0.899160
473654.623619,detection,32,0.005690,572.000000
473654.623619,detection,33,0.952778,0.899160
473654.623619,detection,84,0.899160,0.000000
473654.623620,detection,66,0.005690,120.000000
473654.698930,detection,65,576.000000,0.000000
473654.699137,detection,99,0.906944,0.914530
473654.699209,detection,32,0.004811,576.000000
473654.699209,detection,33,0.906944,0.914530
473654.699209,detection,84,0.914530,0.000000
473654.699210,detection,66,0.004811,118.000000
473654.776025,detection,65,564.000000,0.000000
473654.776245,detection,99,0.952778,0.909091
473654.776319,detection,32,0.004319,564.000000
473654.776319,detection,33,0.952778,0.909091
473654.776319,detection,84,0.909091,0.000000
473654.776320,detection,66,0.004319,122.000000
473654.853532,detection,65,524.000000,0.000000
473654.853704,detection,99,0.718056,0.913462
473654.853769,detection,32,0.004209,524.000000
473654.853769,detection,33,0.718056,0.913462
473654.853770,detection,84,0.913462,0.000000
473654.853770,detection,66,0.004209,105.000000
473654.930220,detection,65,536.000000,0.000000
473654.930416,detection,99,0.952778,0.915888
473654.930484,detection,32,0.005085,536.000000
473654.930484,detection,33,0.952778,0.915888
473654.930484,detection,84,0.915888,0.000000
473654.930485,detection,66,0.005085,108.000000
473655.007224,detection,65,620.000000,0.000000
473655.007406,detection,99,0.952778,0.900763
473655.007486,detection,32,0.002069,620.000000
473655.007486,detection,33,0.952778,0.900763
473655.007486,detection,84,0.900763,0.000000
473655.007486,detection,66,0.002069,132.000000
473655.084687,detection,65,1258.000000,0.000000
473655.085022,detection,99,0.955556,0.932203
473655.085182,detection,32,0.000853,1258.000000
473655.085182,detection,33,0.955556,0.932203
473655.085183,detection,84,0.932203,0.000000
473655.085184,detection,66,0.000853,178.000000
473655.162073,detection,65,1320.000000,0.000000
