timestamp,phase,code,valueA,valueB
473203.175408,camera,96,0.000833,800.000000
473203.409710,detection,65,837.000000,0.000000
473203.410027,detection,98,0.536111,0.909774
473203.410175,detection,32,0.016928,837.000000
473203.410175,detection,33,0.536111,0.909774
473203.410175,detection,84,0.909774,0.000000
473203.410184,detection,66,0.016928,134.000000
473203.483121,detection,65,914.000000,0.000000
473203.483356,detection,98,0.536111,0.891304
473203.483478,detection,32,0.015356,914.000000
473203.483478,detection,33,0.536111,0.891304
473203.483478,detection,84,0.891304,0.000000
473203.483479,detection,66,0.015356,139.000000
473203.554644,detection,65,1910.000000,0.000000
473203.555055,detection,98,0.608333,0.945652
473203.555271,detection,32,0.010923,1910.000000
473203.555271,detection,33,0.608333,0.945652
473203.555271,detection,84,0.945652,0.000000
473203.555272,detection,66,0.010923,185.000000
473203.627011,detection,65,1924.000000,0.000000
473203.627412,detection,98,0.609722,0.938202
473203.627653,detection,32,0.009735,1924.000000
473203.627653,detection,33,0.609722,0.938202
473203.627653,detection,84,0.938202,0.000000
473203.627654,detection,66,0.009735,179.000000
473203.700300,detection,65,2035.000000,0.000000
473203.700732,detection,98,0.608333,0.936842
473203.700971,detection,32,0.011304,2035.000000
473203.700971,detection,33,0.608333,0.936842
473203.700971,detection,84,0.936842,0.000000
473203.700972,detection,66,0.011304,191.000000
473203.774133,detection,65,2028.000000,0.000000
473203.774513,detection,98,0.608333,0.950276
473203.774746,detection,32,0.010511,2028.000000
473203.774746,detection,33,0.608333,0.950276
473203.774746,detection,84,0.950276,0.000000
473203.774747,detection,66,0.010511,182.000000
473203.848193,detection,65,2051.000000,0.000000
473203.848607,detection,98,0.613889,0.940860
473203.848850,detection,32,0.009701,2051.000000
473203.848850,detection,33,0.613889,0.940860
473203.848850,detection,84,0.940860,0.000000
473203.848851,detection,66,0.009701,187.000000
473203.922352,detection,65,1979.000000,0.000000
473203.922752,detection,98,0.613889,0.945055
473203.922988,detection,32,0.009940,1979.000000
473203.922988,detection,33,0.613889,0.945055
473203.922988,detection,84,0.945055,0.000000
473203.922989,detection,66,0.009940,183.000000
473203.996582,detection,65,1917.000000,0.000000
473203.996980,detection,98,0.613889,0.938547
473203.997215,detection,32,0.010244,1917.000000
473203.997215,detection,33,0.613889,0.938547
473203.997215,detection,84,0.938547,0.000000
473203.997215,detection,66,0.010244,180.000000
473204.070929,detection,65,1972.000000,0.000000
473204.071319,detection,98,0.618056,0.934066
473204.071568,detection,32,0.010363,1972.000000
473204.071568,detection,33,0.618056,0.934066
473204.071568,detection,84,0.934066,0.000000
473204.071569,detection,66,0.010363,183.000000
473204.145198,detection,65,1957.000000,0.000000
473204.145563,detection,98,0.608333,0.942857
473204.145804,detection,32,0.010262,1957.000000
473204.145804,detection,33,0.608333,0.942857
473204.145804,detection,84,0.942857,0.000000
473204.145811,detection,66,0.010262,176.000000
473204.220523,detection,65,1983.000000,0.000000
473204.220914,detection,98,0.613889,0.939891
473204.221164,detection,32,0.010123,1983.000000
473204.221165,detection,33,0.613889,0.939891
473204.221165,detection,84,0.939891,0.000000
473204.221165,detection,66,0.010123,184.000000
473204.295804,detection,65,1939.000000,0.000000
473204.296166,detection,98,0.613889,0.943820
473204.296399,detection,32,0.011457,1939.000000
473204.296400,detection,33,0.613889,0.943820
473204.296400,detection,84,0.943820,0.000000
473204.296400,detection,66,0.011457,179.000000
473204.370852,detection,65,1978.000000,0.000000
473204.371231,detection,98,0.615278,0.943820
473204.371475,detection,32,0.010359,1978.000000
473204.371476,detection,33,0.615278,0.943820
473204.371476,detection,84,0.943820,0.000000
473204.371476,detection,66,0.010359,179.000000
473204.446135,detection,65,1947.000000,0.000000
473204.446524,detection,98,0.613889,0.936170
473204.446762,detection,32,0.010734,1947.000000
473204.446762,detection,33,0.613889,0.936170
473204.446762,detection,84,0.936170,0.000000
473204.446763,detection,66,0.010734,189.000000
473204.521862,detection,65,1982.000000,0.000000
473204.522245,detection,98,0.609722,0.945946
473204.522492,detection,32,0.010253,1982.000000
473204.522492,detection,33,0.609722,0.945946
473204.522492,detection,84,0.945946,0.000000
473204.522493,detection,66,0.010253,186.000000
473204.597699,detection,65,1933.000000,0.000000
473204.598084,detection,98,0.613889,0.941176
473204.598321,detection,32,0.010004,1933.000000
473204.598321,detection,33,0.613889,0.941176
473204.598321,detection,84,0.941176,0.000000
473204.598322,detection,66,0.010004,188.000000
473204.673823,detection,65,1996.000000,0.000000
473204.674236,detection,98,0.616667,0.942105
473204.674509,detection,32,0.010369,1996.000000
473204.674509,detection,33,0.616667,0.942105
473204.674509,detection,84,0.942105,0.000000
473204.674510,detection,66,0.010369,191.000000
473204.749686,detection,65,1917.000000,0.000000
473204.750061,detection,98,0.609722,0.939891
473204.750303,detection,32,0.010549,1917.000000
473204.750303,detection,33,0.609722,0.939891
