timestamp,phase,code,valueA,valueB
530320.022611,camera,96,0.000833,800.000000
530320.341023,detection,65,516.000000,0.000000
530320.341426,detection,99,0.823611,0.904762
530320.341426,detection,34,3.250000,13.000000
530320.341545,detection,32,0.002902,516.000000
530320.341545,detection,33,0.823611,0.904762
530320.341545,detection,84,0.904762,0.000000
530320.341553,detection,66,0.002902,127.000000
530320.412363,detection,65,404.000000,0.000000
530320.412556,detection,98,0.480556,0.907216
530320.412557,detection,34,2.750000,11.000000
530320.412619,detection,32,0.007240,404.000000
530320.412619,detection,33,0.480556,0.907216
530320.412620,detection,84,0.907216,0.000000
530320.412620,detection,66,0.007240,98.000000
530320.482555,detection,65,1064.000000,0.000000
530320.482824,detection,99,0.822222,0.931507
530320.482824,detection,34,4.714286,33.000000
530320.482958,detection,32,0.006811,1064.000000
530320.482958,detection,33,0.822222,0.931507
530320.482958,detection,84,0.931507,0.000000
530320.482959,detection,66,0.006811,147.000000
530320.552128,detection,65,1023.000000,0.000000
530320.552376,detection,99,0.820833,0.929577
530320.552376,detection,34,4.142857,29.000000
530320.552503,detection,32,0.009202,1023.000000
530320.552503,detection,33,0.820833,0.929577
530320.552503,detection,84,0.929577,0.000000
530320.552504,detection,66,0.009202,143.000000
530320.622006,detection,65,1078.000000,0.000000
530320.622245,detection,99,0.822222,0.925170
530320.622246,detection,34,4.571429,32.000000
530320.622376,detection,32,0.007403,1078.000000
530320.622377,detection,33,0.822222,0.925170
530320.622377,detection,84,0.925170,0.000000
530320.622380,detection,66,0.007403,148.000000
530320.691733,detection,65,1039.000000,0.000000
530320.691955,detection,99,0.822222,0.929577
530320.691955,detection,34,4.571429,32.000000
530320.692087,detection,32,0.005526,1039.000000
530320.692087,detection,33,0.822222,0.929577
530320.692087,detection,84,0.929577,0.000000
530320.692088,detection,66,0.005526,143.000000
530320.762179,detection,65,1059.000000,0.000000
530320.762414,detection,99,0.823611,0.931507
530320.762415,detection,34,4.571429,32.000000
530320.762545,detection,32,0.007009,1059.000000
530320.762545,detection,33,0.823611,0.931507
530320.762545,detection,84,0.931507,0.000000
530320.762546,detection,66,0.007009,147.000000
530320.833087,detection,65,1047.000000,0.000000
530320.833314,detection,99,0.823611,0.936170
530320.833314,detection,34,4.428571,31.000000
530320.833444,detection,32,0.009570,1047.000000
530320.833444,detection,33,0.823611,0.936170
530320.833445,detection,84,0.936170,0.000000
530320.833445,detection,66,0.009570,142.000000
530320.903977,detection,65,1075.000000,0.000000
530320.904225,detection,99,0.823611,0.933775
530320.904225,detection,34,4.428571,31.000000
530320.904360,detection,32,0.006198,1075.000000
530320.904360,detection,33,0.823611,0.933775
530320.904360,detection,84,0.933775,0.000000
530320.904361,detection,66,0.006198,152.000000
530320.975104,detection,65,1038.000000,0.000000
530320.975334,detection,99,0.823611,0.929577
530320.975334,detection,34,4.000000,28.000000
530320.975464,detection,32,0.008862,1038.000000
530320.975464,detection,33,0.823611,0.929577
530320.975464,detection,84,0.929577,0.000000
530320.975465,detection,66,0.008862,143.000000
530321.046316,detection,65,1057.000000,0.000000
530321.046544,detection,99,0.823611,0.931973
530321.046545,detection,34,4.285714,30.000000
530321.046675,detection,32,0.009065,1057.000000
530321.046675,detection,33,0.823611,0.931973
530321.046675,detection,84,0.931973,0.000000
530321.046676,detection,66,0.009065,148.000000
530321.117860,detection,65,1052.000000,0.000000
530321.118085,detection,99,0.823611,0.929078
530321.118085,detection,34,4.428571,31.000000
530321.118219,detection,32,0.009916,1052.000000
530321.118220,detection,33,0.823611,0.929078
530321.118220,detection,84,0.929078,0.000000
530321.118220,detection,66,0.009916,142.000000
530321.189583,detection,65,1049.000000,0.000000
530321.189809,detection,99,0.823611,0.927536
530321.189810,detection,34,4.142857,29.000000
530321.189948,detection,32,0.009288,1049.000000
530321.189948,detection,33,0.823611,0.927536
530321.189948,detection,84,0.927536,0.000000
530321.189949,detection,66,0.009288,139.000000
530321.261373,detection,65,1048.000000,0.000000
530321.261613,detection,99,0.823611,0.928058
530321.261614,detection,34,4.142857,29.000000
530321.261750,detection,32,0.008981,1048.000000
530321.261750,detection,33,0.823611,0.928058
530321.261750,detection,84,0.928058,0.000000
530321.261754,detection,66,0.008981,140.000000
530321.334233,detection,65,1043.000000,0.000000
530321.334468,detection,99,0.825000,0.923077
530321.334468,detection,34,5.000000,30.000000
530321.334598,detection,32,0.006395,1043.000000
530321.334598,detection,33,0.825000,0.923077
530321.334598,detection,84,0.923077,0.000000
530321.334599,detection,66,0.006395,157.000000
530321.406698,detection,65,2289.000000,0.000000
530321.407182,detection,99,0.965278,0.925926
530321.407182,detection,34,7.000000,70.000000
530321.407465,detection,32,0.001380,2289.000000
530321.407465,detection,33,0.965278,0.925926
530321.407465,detection,84,0.925926,0.000000
530321.407466,detection,66,0.001380,217.000000
530321.479615,detection,65,2480.000000,0.000000
530321.480145,detection,99,0.965278,0.920000
530321.480145,detection,34,7.200000,72.000000
530321.480458,detection,32,0.003399,2480.000000
530321.480458,detection,33,0.965278,0.920000
530321.480458,detection,84,0.920000,0.000000
530321.480459,detection,66,0.003399,226.000000
530321.552877,detection,65,2450.000000,0.000000
530321.553405,detection,99,0.965278,0.934272
530321.553405,detection,34,6.454545,71.000000
530321.553724,detection,32,0.004175,2450.000000
530321.553724,detection,33,0.965278,0.934272
530321.553724,detection,84,0.934272,0.000000
530321.553725,detection,66,0.004175,214.000000
530321.626534,detection,65,2518.000000,0.000000
530321.627069,detection,99,0.966667,0.936652
530321.627069,detection,34,6.545455,72.000000
530321.627395,detection,32,0.003425,2518.000000
530321.627395,detection,33,0.966667,0.936652
530321.627395,detection,84,0.936652,0.000000
530321.627398,detection,66,0.003425,222.000000
530321.700083,detection,65,2458.000000,0.000000
530321.700559,detection,99,0.965278,0.930876
530321.700559,detection,34,6.454545,71.000000
530321.700845,detection,32,0.003546,2458.000000
530321.700845,detection,33,0.965278,0.930876
530321.700845,detection,84,0.930876,0.000000
530321.700846,detection,66,0.003546,218.000000
530321.773754,detection,65,2532.000000,0.000000
530321.774284,detection,99,0.966667,0.928251
530321.774285,detection,34,6.363636,70.000000
530321.774627,detection,32,0.003281,2532.000000
530321.774627,detection,33,0.966667,0.928251
530321.774627,detection,84,0.928251,0.000000
530321.774628,detection,66,0.003281,224.000000
530321.847551,detection,65,2472.000000,0.000000
530321.848037,detection,99,0.965278,0.927273
530321.848037,detection,34,6.090909,67.000000
530321.848371,detection,32,0.003877,2472.000000
530321.848371,detection,33,0.965278,0.927273
530321.848371,detection,84,0.927273,0.000000
530321.848372,detection,66,0.003877,221.000000
530321.921901,detection,65,2462.000000,0.000000
530321.922427,detection,99,0.966667,0.928571
530321.922427,detection,34,6.800000,68.000000
530321.922751,detection,32,0.002669,2462.000000
530321.922752,detection,33,0.966667,0.928571
530321.922752,detection,84,0.928571,0.000000
530321.922752,detection,66,0.002669,225.000000
530321.995810,detection,65,2487.000000,0.000000
530321.996318,detection,99,0.965278,0.925110
530321.996318,detection,34,6.900000,69.000000
530321.996642,detection,32,0.003331,2487.000000
530321.996642,detection,33,0.965278,0.925110
530321.996642,detection,84,0.925110,0.000000
530321.996642,detection,66,0.003331,228.000000
530322.070105,detection,65,2517.000000,0.000000
530322.070580,detection,99,0.965278,0.928571
530322.070580,detection,34,6.181818,68.000000
530322.070873,detection,32,0.003537,2517.000000
530322.070873,detection,33,0.965278,0.928571
530322.070873,detection,84,0.928571,0.000000
530322.070874,detection,66,0.003537,225.000000
530322.144423,detection,65,2546.000000,0.000000
530322.144921,detection,99,0.965278,0.928889
530322.144921,detection,34,6.272727,69.000000
530322.145232,detection,32,0.003647,2546.000000
530322.145232,detection,33,0.965278,0.928889
530322.145232,detection,84,0.928889,0.000000
530322.145233,detection,66,0.003647,226.000000
530322.218554,detection,65,2559.000000,0.000000
530322.219090,detection,99,0.965278,0.924444
530322.219090,detection,34,6.454545,71.000000
530322.219434,detection,32,0.003443,2559.000000
530322.219434,detection,33,0.965278,0.924444
530322.219434,detection,84,0.924444,0.000000
530322.219435,detection,66,0.003443,226.000000
530322.293202,detection,65,2541.000000,0.000000
530322.293730,detection,99,0.965278,0.921397
530322.293730,detection,34,6.363636,70.000000
530322.294064,detection,32,0.003502,2541.000000
530322.294064,detection,33,0.965278,0.921397
530322.294064,detection,84,0.921397,0.000000
530322.294064,detection,66,0.003502,230.000000
530322.368096,detection,65,2510.000000,0.000000
530322.368612,detection,99,0.965278,0.920000
530322.368612,detection,34,6.454545,71.000000
530322.368920,detection,32,0.003329,2510.000000
530322.368920,detection,33,0.965278,0.920000
530322.368920,detection,84,0.920000,0.000000
530322.368921,detection,66,0.003329,226.000000
530322.442550,detection,65,2529.000000,0.000000
530322.443057,detection,99,0.966667,0.924107
530322.443057,detection,34,6.636364,73.000000
530322.443374,detection,32,0.003157,2529.000000
530322.443375,detection,33,0.966667,0.924107
530322.443375,detection,84,0.924107,0.000000
530322.443375,detection,66,0.003157,225.000000
530322.517293,detection,65,2516.000000,0.000000
530322.517793,detection,99,0.965278,0.926606
530322.517793,detection,34,6.454545,71.000000
530322.518114,detection,32,0.003366,2516.000000
530322.518114,detection,33,0.965278,0.926606
530322.518114,detection,84,0.926606,0.000000
530322.518115,detection,66,0.003366,219.000000
530322.591948,detection,65,2521.000000,0.000000
530322.592479,detection,99,0.965278,0.924107
530322.592479,detection,34,6.363636,70.000000
530322.592808,detection,32,0.003027,2521.000000
530322.592808,detection,33,0.965278,0.924107
530322.592808,detection,84,0.924107,0.000000
530322.592809,detection,66,0.003027,225.000000
530322.666824,detection,65,2516.000000,0.000000
530322.667331,detection,99,0.965278,0.924107
530322.667331,detection,34,6.545455,72.000000
530322.667647,detection,32,0.002726,2516.000000
530322.667647,detection,33,0.965278,0.924107
530322.667647,detection,84,0.924107,0.000000
530322.667648,detection,66,0.002726,225.000000
530322.741825,detection,65,2529.000000,0.000000
530322.742331,detection,99,0.965278,0.923767
530322.742331,detection,34,6.454545,71.000000
530322.742647,detection,32,0.003149,2529.000000
530322.742647,detection,33,0.965278,0.923767
530322.742647,detection,84,0.923767,0.000000
530322.742648,detection,66,0.003149,224.000000
530322.816751,detection,65,2558.000000,0.000000
530322.817236,detection,99,0.965278,0.923767
530322.817236,detection,34,6.545455,72.000000
530322.817553,detection,32,0.003510,2558.000000
530322.817554,detection,33,0.965278,0.923767
530322.817554,detection,84,0.923767,0.000000
530322.817554,detection,66,0.003510,224.000000
530322.891472,detection,65,2556.000000,0.000000
530322.891968,detection,99,0.965278,0.923767
530322.891968,detection,34,6.363636,70.000000
530322.892288,detection,32,0.004369,2556.000000
530322.892288,detection,33,0.965278,0.923767
530322.892289,detection,84,0.923767,0.000000
530322.892289,detection,66,0.004369,224.000000
530322.966454,detection,65,2564.000000,0.000000
530322.966961,detection,99,0.965278,0.920000
530322.966961,detection,34,6.545455,72.000000
530322.967286,detection,32,0.004356,2564.000000
530322.967286,detection,33,0.965278,0.920000
530322.967286,detection,84,0.920000,0.000000
530322.967287,detection,66,0.004356,226.000000
530323.041547,detection,65,2545.000000,0.000000
530323.042038,detection,99,0.965278,0.926941
530323.042038,detection,34,6.545455,72.000000
530323.042358,detection,32,0.005044,2545.000000
530323.042358,detection,33,0.965278,0.926941
530323.042358,detection,84,0.926941,0.000000
530323.042359,detection,66,0.005044,220.000000
530323.116596,detection,65,2560.000000,0.000000
530323.117080,detection,99,0.966667,0.930876
530323.117080,detection,34,6.545455,72.000000
530323.117404,detection,32,0.003527,2560.000000
530323.117404,detection,33,0.966667,0.930876
530323.117404,detection,84,0.930876,0.000000
530323.117405,detection,66,0.003527,218.000000
530323.191363,detection,65,2494.000000,0.000000
530323.191855,detection,99,0.966667,0.923423
530323.191856,detection,34,6.272727,69.000000
530323.192171,detection,32,0.003981,2494.000000
530323.192171,detection,33,0.966667,0.923423
530323.192171,detection,84,0.923423,0.000000
530323.192172,detection,66,0.003981,223.000000
530323.266450,detection,65,2508.000000,0.000000
530323.266955,detection,99,0.966667,0.926941
530323.266955,detection,34,6.454545,71.000000
530323.267284,detection,32,0.004243,2508.000000
530323.267284,detection,33,0.966667,0.926941
530323.267284,detection,84,0.926941,0.000000
530323.267285,detection,66,0.004243,220.000000
530323.342048,detection,65,2501.000000,0.000000
530323.342532,detection,99,0.966667,0.926941
530323.342532,detection,34,6.272727,69.000000
530323.342856,detection,32,0.003310,2501.000000
530323.342856,detection,33,0.966667,0.926941
530323.342856,detection,84,0.926941,0.000000
530323.342857,detection,66,0.003310,220.000000
530323.417286,detection,65,2544.000000,0.000000
530323.417793,detection,99,0.965278,0.924107
530323.417793,detection,34,6.454545,71.000000
530323.418112,detection,32,0.003604,2544.000000
530323.418112,detection,33,0.965278,0.924107
530323.418112,detection,84,0.924107,0.000000
530323.418113,detection,66,0.003604,225.000000
530323.492682,detection,65,2484.000000,0.000000
530323.493167,detection,99,0.965278,0.922374
530323.493167,detection,34,6.272727,69.000000
530323.493489,detection,32,0.002999,2484.000000
530323.493489,detection,33,0.965278,0.922374
530323.493489,detection,84,0.922374,0.000000
530323.493490,detection,66,0.002999,220.000000
530323.567938,detection,65,2585.000000,0.000000
530323.568450,detection,99,0.966667,0.925110
530323.568450,detection,34,6.727273,74.000000
530323.568785,detection,32,0.003712,2585.000000
530323.568785,detection,33,0.966667,0.925110
530323.568786,detection,84,0.925110,0.000000
530323.568786,detection,66,0.003712,228.000000
530323.643617,detection,65,2535.000000,0.000000
530323.644114,detection,99,0.966667,0.922727
530323.644115,detection,34,6.363636,70.000000
530323.644435,detection,32,0.003215,2535.000000
530323.644435,detection,33,0.966667,0.922727
530323.644436,detection,84,0.922727,0.000000
530323.644437,detection,66,0.003215,221.000000
530323.719120,detection,65,2529.000000,0.000000
530323.719676,detection,99,0.965278,0.919643
530323.719676,detection,34,6.363636,70.000000
530323.719994,detection,32,0.003062,2529.000000
530323.719994,detection,33,0.965278,0.919643
530323.719994,detection,84,0.919643,0.000000
530323.719995,detection,66,0.003062,225.000000
530323.794691,detection,65,2533.000000,0.000000
530323.795192,detection,99,0.965278,0.920705
530323.795192,detection,34,6.272727,69.000000
530323.795527,detection,32,0.002886,2533.000000
530323.795527,detection,33,0.965278,0.920705
530323.795527,detection,84,0.920705,0.000000
530323.795527,detection,66,0.002886,228.000000
530323.870569,detection,65,2562.000000,0.000000
530323.871074,detection,99,0.965278,0.928251
530323.871074,detection,34,6.454545,71.000000
530323.871395,detection,32,0.003514,2562.000000
530323.871395,detection,33,0.965278,0.928251
530323.871395,detection,84,0.928251,0.000000
530323.871396,detection,66,0.003514,224.000000
530323.946611,detection,65,2485.000000,0.000000
530323.947078,detection,99,0.965278,0.929577
530323.947078,detection,34,6.272727,69.000000
530323.947402,detection,32,0.003670,2485.000000
530323.947402,detection,33,0.965278,0.929577
530323.947402,detection,84,0.929577,0.000000
530323.947403,detection,66,0.003670,214.000000
530324.022632,detection,65,2522.000000,0.000000
530324.023167,detection,99,0.965278,0.926606
530324.023167,detection,34,6.454545,71.000000
530324.023493,detection,32,0.003843,2522.000000
530324.023493,detection,33,0.965278,0.926606
530324.023493,detection,84,0.926606,0.000000
530324.023494,detection,66,0.003843,219.000000
530324.098536,detection,65,2557.000000,0.000000
530324.099065,detection,99,0.965278,0.924444
530324.099065,detection,34,6.636364,73.000000
530324.099404,detection,32,0.003298,2557.000000
530324.099404,detection,33,0.965278,0.924444
530324.099404,detection,84,0.924444,0.000000
530324.099405,detection,66,0.003298,226.000000
530324.174421,detection,65,2592.000000,0.000000
530324.174935,detection,99,0.965278,0.921053
530324.174935,detection,34,6.545455,72.000000
530324.175265,detection,32,0.002967,2592.000000
530324.175265,detection,33,0.965278,0.921053
530324.175265,detection,84,0.921053,0.000000
530324.175266,detection,66,0.002967,229.000000
530324.250346,detection,65,2564.000000,0.000000
530324.250858,detection,99,0.965278,0.924107
530324.250858,detection,34,6.636364,73.000000
530324.251192,detection,32,0.003153,2564.000000
530324.251192,detection,33,0.965278,0.924107
530324.251192,detection,84,0.924107,0.000000
530324.251193,detection,66,0.003153,225.000000
530324.326835,detection,65,2561.000000,0.000000
530324.327321,detection,99,0.965278,0.930876
530324.327321,detection,34,6.636364,73.000000
530324.327642,detection,32,0.004194,2561.000000
530324.327642,detection,33,0.965278,0.930876
530324.327642,detection,84,0.930876,0.000000
530324.327643,detection,66,0.004194,218.000000
530324.403083,detection,65,2541.000000,0.000000
530324.403584,detection,99,0.965278,0.926941
530324.403584,detection,34,6.909091,76.000000
530324.403914,detection,32,0.003459,2541.000000
530324.403914,detection,33,0.965278,0.926941
530324.403914,detection,84,0.926941,0.000000
530324.403915,detection,66,0.003459,220.000000
530324.479197,detection,65,2566.000000,0.000000
530324.479697,detection,99,0.965278,0.919282
530324.479697,detection,34,6.636364,73.000000
530324.480019,detection,32,0.003931,2566.000000
530324.480019,detection,33,0.965278,0.919282
530324.480019,detection,84,0.919282,0.000000
530324.480020,detection,66,0.003931,224.000000
530324.555507,detection,65,2523.000000,0.000000
530324.556026,detection,99,0.966667,0.920354
530324.556026,detection,34,6.272727,69.000000
530324.556365,detection,32,0.002854,2523.000000
530324.556365,detection,33,0.966667,0.920354
530324.556365,detection,84,0.920354,0.000000
530324.556366,detection,66,0.002854,227.000000
530324.631795,detection,65,2524.000000,0.000000
530324.632304,detection,99,0.965278,0.921397
530324.632304,detection,34,7.200000,72.000000
530324.632621,detection,32,0.002907,2524.000000
530324.632621,detection,33,0.965278,0.921397
530324.632621,detection,84,0.921397,0.000000
530324.632622,detection,66,0.002907,230.000000
530324.708027,detection,65,2494.000000,0.000000
530324.708503,detection,99,0.965278,0.933333
530324.708503,detection,34,6.454545,71.000000
530324.708827,detection,32,0.002892,2494.000000
530324.708827,detection,33,0.965278,0.933333
530324.708827,detection,84,0.933333,0.000000
530324.708828,detection,66,0.002892,211.000000
530324.784453,detection,65,2578.000000,0.000000
530324.784975,detection,99,0.965278,0.919282
530324.784975,detection,34,6.727273,74.000000
530324.785318,detection,32,0.002921,2578.000000
530324.785318,detection,33,0.965278,0.919282
530324.785318,detection,84,0.919282,0.000000
530324.785319,detection,66,0.002921,224.000000
530324.860859,detection,65,2555.000000,0.000000
530324.861363,detection,99,0.965278,0.921659
530324.861363,detection,34,6.818182,75.000000
530324.861714,detection,32,0.002824,2555.000000
530324.861714,detection,33,0.965278,0.921659
530324.861714,detection,84,0.921659,0.000000
530324.861715,detection,66,0.002824,218.000000
530324.937564,detection,65,2569.000000,0.000000
530324.938090,detection,99,0.965278,0.929515
530324.938091,detection,34,6.545455,72.000000
530324.938435,detection,32,0.004273,2569.000000
530324.938435,detection,33,0.965278,0.929515
530324.938435,detection,84,0.929515,0.000000
530324.938436,detection,66,0.004273,228.000000
530325.014043,detection,65,2525.000000,0.000000
530325.014545,detection,99,0.966667,0.927602
530325.014545,detection,34,6.636364,73.000000
530325.014881,detection,32,0.001805,2525.000000
