timestamp,phase,code,valueA,valueB
738523.857074,camera,96,0.000833,800.000000
738524.183689,detection,65,52.000000,0.000000
738524.184126,detection,35,0.888889,28.000000
738524.184161,detection,34,1.615385,3.000000
738524.184180,detection,32,0.012178,52.000000
738524.184181,detection,98,0.277778,0.000000
738524.184181,detection,84,0.888889,1.615385
738524.184181,detection,66,0.000000,0.000000
738524.184181,detection,127,0.000000,0.000000
738524.266693,detection,65,535.000000,0.000000
738524.266998,detection,35,0.900000,121.000000
738524.267015,detection,34,4.297196,19.000000
738524.267053,detection,32,0.049407,535.000000
738524.267053,detection,99,0.843056,0.000000
738524.267053,detection,85,0.049407,0.843056
738524.267054,detection,66,0.049407,4.297196
738524.267054,detection,127,0.049407,4.297196
738524.349352,detection,65,560.000000,0.000000
738524.349683,detection,35,0.888889,127.000000
738524.349702,detection,34,4.535715,20.000000
738524.349739,detection,32,0.042273,560.000000
738524.349739,detection,99,0.762500,0.000000
738524.349739,detection,85,0.042273,0.762500
738524.349740,detection,66,0.042273,4.535715
738524.349740,detection,127,0.042273,4.535715
738524.433070,detection,65,559.000000,0.000000
738524.433332,detection,35,0.892857,113.000000
738524.433348,detection,34,4.042934,20.000000
738524.433380,detection,32,0.048183,559.000000
738524.433380,detection,99,0.698611,0.000000
738524.433381,detection,85,0.048183,0.698611
738524.433381,detection,66,0.048183,4.042934
738524.433381,detection,127,0.048183,4.042934
738524.524513,detection,65,560.000000,0.000000
738524.524812,detection,35,0.909836,123.000000
738524.524829,detection,34,3.953572,18.000000
738524.524863,detection,32,0.050008,560.000000
738524.524863,detection,99,0.700000,0.000000
738524.524863,detection,85,0.050008,0.700000
738524.524864,detection,66,0.050008,3.953572
738524.524864,detection,127,0.050008,3.953572
738524.612270,detection,65,487.000000,0.000000
738524.612586,detection,35,0.899083,110.000000
738524.612605,detection,34,3.613963,16.000000
738524.612641,detection,32,0.047918,487.000000
738524.612641,detection,99,0.695833,0.000000
738524.612641,detection,85,0.047918,0.695833
738524.612642,detection,66,0.047918,3.613963
738524.612642,detection,127,0.047918,3.613963
738524.699617,detection,65,455.000000,0.000000
738524.699836,detection,35,0.909091,100.000000
738524.699851,detection,34,3.956044,18.000000
738524.699881,detection,32,0.045035,455.000000
738524.699881,detection,99,0.695833,0.000000
738524.699882,detection,85,0.045035,0.695833
738524.699882,detection,66,0.045035,3.956044
738524.699882,detection,127,0.045035,3.956044
738524.787721,detection,65,447.000000,0.000000
738524.787937,detection,35,0.895238,106.000000
738524.787951,detection,34,4.268456,18.000000
738524.787978,detection,32,0.042048,447.000000
738524.787978,detection,99,0.694444,0.000000
738524.787978,detection,85,0.042048,0.694444
738524.787979,detection,66,0.042048,4.268456
738524.787979,detection,127,0.042048,4.268456
738524.875094,detection,65,415.000000,0.000000
