timestamp,phase,code,valueA,valueB
678588.241058,camera,96,0.000833,800.000000
678588.532500,detection,65,4.000000,0.000000
678588.532730,detection,80,4.000000,0.000000
678588.532731,detection,66,0.000000,0.000000
678588.532731,detection,127,0.000000,0.000000
678588.602869,detection,65,4.000000,0.000000
678588.602870,detection,80,4.000000,0.000000
678588.602871,detection,66,0.000000,0.000000
678588.602871,detection,127,0.000000,0.000000
678588.672792,detection,65,4.000000,0.000000
678588.672793,detection,80,4.000000,0.000000
678588.672794,detection,66,0.000000,0.000000
678588.672794,detection,127,0.000000,0.000000
678588.745247,detection,65,4.000000,0.000000
678588.745250,detection,80,4.000000,0.000000
678588.745250,detection,66,0.000000,0.000000
678588.745250,detection,127,0.000000,0.000000
678588.817759,detection,65,4.000000,0.000000
678588.817761,detection,80,4.000000,0.000000
678588.817761,detection,66,0.000000,0.000000
678588.817761,detection,127,0.000000,0.000000
678588.890427,detection,65,4.000000,0.000000
678588.890430,detection,80,4.000000,0.000000
678588.890431,detection,66,0.000000,0.000000
678588.890431,detection,127,0.000000,0.000000
678588.961881,detection,65,4.000000,0.000000
678588.961882,detection,80,4.000000,0.000000
678588.961882,detection,66,0.000000,0.000000
678588.961883,detection,127,0.000000,0.000000
678589.032861,detection,65,4.000000,0.000000
678589.032861,detection,80,4.000000,0.000000
678589.032861,detection,66,0.000000,0.000000
678589.032861,detection,127,0.000000,0.000000
678589.104845,detection,65,4.000000,0.000000
678589.104846,detection,80,4.000000,0.000000
678589.104846,detection,66,0.000000,0.000000
678589.104846,detection,127,0.000000,0.000000
678589.177341,detection,65,4.000000,0.000000
678589.177341,detection,80,4.000000,0.000000
678589.177341,detection,66,0.000000,0.000000
678589.177341,detection,127,0.000000,0.000000
678589.250140,detection,65,4.000000,0.000000
678589.250141,detection,80,4.000000,0.000000
678589.250141,detection,66,0.000000,0.000000
678589.250141,detection,127,0.000000,0.000000
678589.323505,detection,65,4.000000,0.000000
678589.323505,detection,80,4.000000,0.000000
678589.323505,detection,66,0.000000,0.000000
