timestamp,phase,code,valueA,valueB
738707.796516,camera,96,0.000833,800.000000
738708.106130,detection,65,70.000000,0.000000
738708.106306,detection,35,0.853659,42.000000
738708.106336,detection,34,2.400000,4.000000
738708.106351,detection,32,0.021634,70.000000
738708.106351,detection,98,0.481944,0.000000
738708.106352,detection,85,0.021634,0.481944
738708.106352,detection,66,0.021634,2.400000
738708.106352,detection,127,0.021634,2.400000
738708.178557,detection,65,282.000000,0.000000
738708.178718,detection,35,0.900000,91.000000
738708.178730,detection,34,3.872340,12.000000
738708.178747,detection,32,0.030066,282.000000
738708.178747,detection,99,0.723611,0.000000
738708.178747,detection,85,0.030066,0.723611
738708.178747,detection,66,0.030066,3.872340
738708.178747,detection,127,0.030066,3.872340
738708.252551,detection,65,247.000000,0.000000
738708.252697,detection,35,0.890110,92.000000
738708.252709,detection,34,2.979757,8.000000
738708.252723,detection,32,0.022433,247.000000
738708.252723,detection,99,0.720833,0.000000
738708.252724,detection,85,0.022433,0.720833
738708.252724,detection,66,0.022433,2.979757
738708.252724,detection,127,0.022433,2.979757
738708.328248,detection,65,247.000000,0.000000
738708.328395,detection,35,0.879121,92.000000
738708.328407,detection,34,2.979757,8.000000
738708.328421,detection,32,0.033765,247.000000
738708.328421,detection,99,0.720833,0.000000
738708.328421,detection,85,0.033765,0.720833
738708.328422,detection,66,0.033765,2.979757
738708.328422,detection,127,0.033765,2.979757
738708.404396,detection,65,273.000000,0.000000
738708.404582,detection,35,0.891089,102.000000
738708.404594,detection,34,2.989011,8.000000
738708.404610,detection,32,0.030275,273.000000
738708.404610,detection,99,0.720833,0.000000
738708.404610,detection,85,0.030275,0.720833
738708.404610,detection,66,0.030275,2.989011
738708.404611,detection,127,0.030275,2.989011
738708.480804,detection,65,249.000000,0.000000
738708.480945,detection,35,0.886364,89.000000
738708.480957,detection,34,2.859438,8.000000
738708.480972,detection,32,0.029508,249.000000
738708.480972,detection,99,0.720833,0.000000
738708.480973,detection,85,0.029508,0.720833
738708.480973,detection,66,0.029508,2.859438
738708.480973,detection,127,0.029508,2.859438
738708.558933,detection,65,240.000000,0.000000
738708.559067,detection,35,0.915663,84.000000
738708.559078,detection,34,2.800000,8.000000
738708.559092,detection,32,0.021124,240.000000
738708.559092,detection,98,0.569444,0.000000
738708.559092,detection,85,0.021124,0.569444
738708.559093,detection,66,0.021124,2.800000
738708.559093,detection,127,0.021124,2.800000
738708.636490,detection,65,235.000000,0.000000
738708.636633,detection,35,0.894118,86.000000
738708.636644,detection,34,2.927660,8.000000
738708.636658,detection,32,0.020739,235.000000
738708.636658,detection,99,0.719444,0.000000
738708.636658,detection,85,0.020739,0.719444
738708.636659,detection,66,0.020739,2.927660
738708.636659,detection,127,0.020739,2.927660
738708.636741,detection,128,0.033765,1.000000
738708.636741,detection,129,0.000000,8.000000
738708.636741,detection,130,2.000000,1.000000
738708.636742,detection,144,0.033765,1.000000
738708.636746,detection,144,0.033765,1.000000
738708.636747,detection,126,8.000000,0.033765
738708.636747,detection,128,0.033765,1.000000
738708.636747,detection,144,0.033765,1.000000
738708.636747,detection,144,0.033765,1.000000
738708.714330,detection,65,246.000000,0.000000
738708.714484,detection,35,0.887640,90.000000
738708.714496,detection,34,2.560976,7.000000
738708.714511,detection,32,0.027897,246.000000
738708.714511,detection,99,0.720833,0.000000
738708.714511,detection,85,0.027897,0.720833
738708.714512,detection,66,0.027897,2.560976
738708.714512,detection,127,0.027897,2.560976
738708.792579,detection,65,230.000000,0.000000
738708.792714,detection,35,0.892857,85.000000
738708.792724,detection,34,2.956522,8.000000
738708.792737,detection,32,0.025590,230.000000
738708.792737,detection,99,0.720833,0.000000
738708.792738,detection,85,0.025590,0.720833
738708.792738,detection,66,0.025590,2.956522
738708.792738,detection,127,0.025590,2.956522
738708.870804,detection,65,242.000000,0.000000
738708.870938,detection,35,0.896552,88.000000
738708.870948,detection,34,2.909091,8.000000
738708.870961,detection,32,0.028078,242.000000
738708.870961,detection,99,0.720833,0.000000
738708.870961,detection,85,0.028078,0.720833
738708.870961,detection,66,0.028078,2.909091
738708.870961,detection,127,0.028078,2.909091
738708.949398,detection,65,277.000000,0.000000
738708.949535,detection,35,0.903226,94.000000
738708.949546,detection,34,2.375451,7.000000
738708.949560,detection,32,0.035208,277.000000
738708.949561,detection,99,0.720833,0.000000
738708.949561,detection,85,0.035208,0.720833
738708.949561,detection,66,0.035208,2.375451
738708.949561,detection,127,0.035208,2.375451
738709.027908,detection,65,280.000000,0.000000
738709.028036,detection,35,0.908046,88.000000
738709.028046,detection,34,2.514286,8.000000
738709.028061,detection,32,0.030179,280.000000
738709.028061,detection,99,0.719444,0.000000
738709.028061,detection,85,0.030179,0.719444
738709.028062,detection,66,0.030179,2.514286
738709.028062,detection,127,0.030179,2.514286
738709.106656,detection,65,250.000000,0.000000
738709.106775,detection,35,0.886364,89.000000
738709.106785,detection,34,3.204000,9.000000
738709.106798,detection,32,0.030387,250.000000
738709.106798,detection,99,0.719444,0.000000
738709.106799,detection,85,0.030387,0.719444
738709.106802,detection,66,0.030387,3.204000
738709.106802,detection,127,0.030387,3.204000
738709.185851,detection,65,803.000000,0.000000
738709.186072,detection,35,0.912162,149.000000
738709.186090,detection,34,5.009963,27.000000
738709.186132,detection,32,0.028493,803.000000
738709.186132,detection,99,0.729167,0.000000
738709.186133,detection,85,0.028493,0.729167
738709.186133,detection,66,0.028493,5.009963
738709.186133,detection,127,0.028493,5.009963
738709.265377,detection,65,894.000000,0.000000
738709.265611,detection,35,0.913907,152.000000
738709.265629,detection,34,5.440716,32.000000
738709.265677,detection,32,0.025232,894.000000
738709.265677,detection,99,0.729167,0.000000
738709.265677,detection,85,0.025232,0.729167
738709.265677,detection,66,0.025232,5.440716
738709.265677,detection,127,0.025232,5.440716
738709.265689,detection,128,0.035208,1.000000
738709.265689,detection,129,0.000000,8.000000
738709.265689,detection,130,2.000000,1.000000
738709.265689,detection,144,0.035208,1.000000
738709.265690,detection,144,0.035208,1.000000
738709.265690,detection,126,8.000000,0.035208
738709.265690,detection,128,0.035208,1.000000
738709.265690,detection,144,0.035208,1.000000
738709.265690,detection,144,0.035208,1.000000
738709.344798,detection,65,888.000000,0.000000
738709.345025,detection,35,0.923077,144.000000
738709.345042,detection,34,5.027027,31.000000
738709.345090,detection,32,0.024500,888.000000
738709.345090,detection,98,0.576389,0.000000
738709.345090,detection,85,0.024500,0.576389
738709.345090,detection,66,0.024500,5.027027
738709.345090,detection,127,0.024500,5.027027
738709.424685,detection,65,907.000000,0.000000
738709.424932,detection,35,0.918367,148.000000
738709.424950,detection,34,5.221610,32.000000
738709.425001,detection,32,0.025382,907.000000
738709.425001,detection,99,0.723611,0.000000
738709.425001,detection,85,0.025382,0.723611
738709.425002,detection,66,0.025382,5.221610
738709.425002,detection,127,0.025382,5.221610
738709.504777,detection,65,916.000000,0.000000
738709.505014,detection,35,0.917241,146.000000
738709.505032,detection,34,4.622271,29.000000
738709.505082,detection,32,0.024478,916.000000
738709.505082,detection,99,0.725000,0.000000
738709.505082,detection,85,0.024478,0.725000
738709.505083,detection,66,0.024478,4.622271
738709.505083,detection,127,0.024478,4.622271
738709.585533,detection,65,953.000000,0.000000
738709.585787,detection,35,0.922581,156.000000
738709.585805,detection,34,4.910808,30.000000
738709.585857,detection,32,0.026464,953.000000
738709.585857,detection,99,0.725000,0.000000
738709.585857,detection,85,0.026464,0.725000
738709.585857,detection,66,0.026464,4.910808
738709.585857,detection,127,0.026464,4.910808
738709.665830,detection,65,926.000000,0.000000
738709.666092,detection,35,0.927152,152.000000
738709.666111,detection,34,4.596112,28.000000
738709.666163,detection,32,0.026070,926.000000
738709.666163,detection,98,0.576389,0.000000
738709.666163,detection,85,0.026070,0.576389
738709.666163,detection,66,0.026070,4.596112
738709.666164,detection,127,0.026070,4.596112
738709.746363,detection,65,930.000000,0.000000
738709.746609,detection,35,0.925170,148.000000
738709.746627,detection,34,4.933333,31.000000
738709.746679,detection,32,0.024895,930.000000
738709.746679,detection,98,0.576389,0.000000
738709.746679,detection,85,0.024895,0.576389
738709.746680,detection,66,0.024895,4.933333
738709.746680,detection,127,0.024895,4.933333
738709.826252,detection,65,937.000000,0.000000
738709.826496,detection,35,0.925170,148.000000
738709.826515,detection,34,5.054429,32.000000
738709.826569,detection,32,0.025108,937.000000
738709.826569,detection,98,0.576389,0.000000
738709.826569,detection,85,0.025108,0.576389
738709.826569,detection,66,0.025108,5.054429
738709.826569,detection,127,0.025108,5.054429
738709.908957,detection,65,930.000000,0.000000
738709.909211,detection,35,0.928571,155.000000
738709.909229,detection,34,5.000000,30.000000
738709.909280,detection,32,0.026117,930.000000
738709.909280,detection,98,0.576389,0.000000
738709.909280,detection,85,0.026117,0.576389
738709.909280,detection,66,0.026117,5.000000
738709.909280,detection,127,0.026117,5.000000
738709.909295,detection,128,0.026464,1.000000
738709.909295,detection,129,0.000000,8.000000
738709.909296,detection,130,2.000000,1.000000
738709.909296,detection,144,0.026464,1.000000
738709.909297,detection,144,0.026464,1.000000
738709.909298,detection,126,8.000000,0.026464
738709.909298,detection,128,0.026464,1.000000
738709.909298,detection,144,0.026464,1.000000
738709.909298,detection,144,0.026464,1.000000
738709.992469,detection,65,918.000000,0.000000
738709.992705,detection,35,0.920000,151.000000
738709.992724,detection,34,4.934640,30.000000
738709.992768,detection,32,0.024703,918.000000
738709.992768,detection,99,0.727778,0.000000
738709.992768,detection,85,0.024703,0.727778
738709.992768,detection,66,0.024703,4.934640
738709.992768,detection,127,0.024703,4.934640
738710.076104,detection,65,946.000000,0.000000
738710.076374,detection,35,0.924051,159.000000
738710.076392,detection,34,5.042283,30.000000
738710.076439,detection,32,0.024402,946.000000
738710.076439,detection,99,0.729167,0.000000
738710.076439,detection,85,0.024402,0.729167
738710.076439,detection,66,0.024402,5.042283
738710.076439,detection,127,0.024402,5.042283
738710.160128,detection,65,922.000000,0.000000
738710.160371,detection,35,0.920000,151.000000
738710.160388,detection,34,4.749458,29.000000
738710.160434,detection,32,0.024924,922.000000
738710.160434,detection,99,0.727778,0.000000
738710.160434,detection,85,0.024924,0.727778
738710.160434,detection,66,0.024924,4.749458
738710.160434,detection,127,0.024924,4.749458
738710.244410,detection,65,931.000000,0.000000
738710.244646,detection,35,0.924138,146.000000
738710.244661,detection,34,4.390977,28.000000
738710.244708,detection,32,0.024876,931.000000
738710.244708,detection,98,0.576389,0.000000
738710.244708,detection,85,0.024876,0.576389
738710.244709,detection,66,0.024876,4.390977
738710.244709,detection,127,0.024876,4.390977
738710.328369,detection,65,938.000000,0.000000
738710.328619,detection,35,0.920000,151.000000
738710.328635,detection,34,4.507463,28.000000
738710.328681,detection,32,0.024524,938.000000
738710.328681,detection,99,0.725000,0.000000
738710.328681,detection,85,0.024524,0.725000
738710.328682,detection,66,0.024524,4.507463
738710.328682,detection,127,0.024524,4.507463
738710.412524,detection,65,930.000000,0.000000
738710.412754,detection,35,0.922535,143.000000
738710.412770,detection,34,4.920430,32.000000
738710.412816,detection,32,0.025361,930.000000
738710.412816,detection,98,0.576389,0.000000
738710.412816,detection,85,0.025361,0.576389
738710.412816,detection,66,0.025361,4.920430
738710.412816,detection,127,0.025361,4.920430
738710.497025,detection,65,899.000000,0.000000
738710.497265,detection,35,0.918367,148.000000
738710.497281,detection,34,4.938821,30.000000
738710.497327,detection,32,0.025039,899.000000
738710.497327,detection,99,0.726389,0.000000
738710.497327,detection,85,0.025039,0.726389
738710.497327,detection,66,0.025039,4.938821
738710.497327,detection,127,0.025039,4.938821
738710.581999,detection,65,929.000000,0.000000
738710.582236,detection,35,0.925170,148.000000
738710.582252,detection,34,4.938643,31.000000
738710.582298,detection,32,0.025294,929.000000
738710.582299,detection,98,0.576389,0.000000
738710.582299,detection,85,0.025294,0.576389
738710.582299,detection,66,0.025294,4.938643
738710.582299,detection,127,0.025294,4.938643
738710.582312,detection,128,0.025361,1.000000
738710.582312,detection,129,0.000000,8.000000
738710.582312,detection,130,2.000000,1.000000
738710.582313,detection,144,0.025361,1.000000
738710.582313,detection,144,0.025361,1.000000
738710.582314,detection,126,8.000000,0.025361
738710.582314,detection,128,0.025361,1.000000
738710.582314,detection,144,0.025361,1.000000
738710.582314,detection,144,0.025361,1.000000
738710.666861,detection,65,939.000000,0.000000
738710.667100,detection,35,0.927632,153.000000
738710.667116,detection,34,4.888179,30.000000
738710.667160,detection,32,0.024925,939.000000
738710.667160,detection,98,0.576389,0.000000
738710.667160,detection,85,0.024925,0.576389
738710.667160,detection,66,0.024925,4.888179
738710.667160,detection,127,0.024925,4.888179
738710.751098,detection,65,937.000000,0.000000
738710.751362,detection,35,0.924528,160.000000
738710.751379,detection,34,5.635005,33.000000
738710.751426,detection,32,0.024050,937.000000
738710.751426,detection,98,0.576389,0.000000
738710.751426,detection,85,0.024050,0.576389
738710.751426,detection,66,0.024050,5.635005
738710.751426,detection,127,0.024050,5.635005
738710.835242,detection,65,917.000000,0.000000
738710.835523,detection,35,0.921212,166.000000
738710.835541,detection,34,5.068702,28.000000
738710.835585,detection,32,0.028374,917.000000
738710.835585,detection,99,0.727778,0.000000
738710.835585,detection,85,0.028374,0.727778
738710.835585,detection,66,0.028374,5.068702
738710.835585,detection,127,0.028374,5.068702
738710.919706,detection,65,898.000000,0.000000
738710.919961,detection,35,0.917722,159.000000
738710.919979,detection,34,5.311804,30.000000
738710.920023,detection,32,0.025441,898.000000
738710.920023,detection,99,0.726389,0.000000
738710.920023,detection,85,0.025441,0.726389
738710.920023,detection,66,0.025441,5.311804
738710.920023,detection,127,0.025441,5.311804
738711.004079,detection,65,890.000000,0.000000
738711.004316,detection,35,0.917722,159.000000
738711.004332,detection,34,4.644944,26.000000
738711.004373,detection,32,0.025969,890.000000
738711.004373,detection,99,0.726389,0.000000
738711.004373,detection,85,0.025969,0.726389
738711.004373,detection,66,0.025969,4.644944
738711.004373,detection,127,0.025969,4.644944
738711.088192,detection,65,916.000000,0.000000
738711.088439,detection,35,0.922078,155.000000
738711.088455,detection,34,5.076419,30.000000
738711.088501,detection,32,0.024656,916.000000
738711.088501,detection,99,0.725000,0.000000
738711.088501,detection,85,0.024656,0.725000
738711.088501,detection,66,0.024656,5.076419
738711.088501,detection,127,0.024656,5.076419
738711.172513,detection,65,943.000000,0.000000
